"filename", "language", "Ini", "Makefile", "C++", "GLSL", "C", "comment", "blank", "total"
"d:\DEV\projects\Project_1\Makefile", "Makefile", 0, 2, 0, 0, 0, 0, 2, 4
"d:\DEV\projects\Project_1\imgui.ini", "Ini", 8, 0, 0, 0, 0, 0, 3, 11
"d:\DEV\projects\Project_1\include\GLFW\glfw3.h", "C++", 0, 0, 596, 0, 0, 5070, 248, 5914
"d:\DEV\projects\Project_1\include\GLFW\glfw3native.h", "C++", 0, 0, 83, 0, 0, 473, 39, 595
"d:\DEV\projects\Project_1\include\KHR\khrplatform.h", "C++", 0, 0, 117, 0, 0, 165, 30, 312
"d:\DEV\projects\Project_1\include\glad\glad.c", "C", 0, 0, 0, 0, 1069, 25, 47, 1141
"d:\DEV\projects\Project_1\include\glad\glad.h", "C++", 0, 0, 2093, 0, 0, 20, 17, 2130
"d:\DEV\projects\Project_1\include\glm\common.hpp", "C++", 0, 0, 97, 0, 0, 389, 54, 540
"d:\DEV\projects\Project_1\include\glm\detail\_features.hpp", "C++", 0, 0, 110, 0, 0, 185, 100, 395
"d:\DEV\projects\Project_1\include\glm\detail\_fixes.hpp", "C++", 0, 0, 16, 0, 0, 5, 7, 28
"d:\DEV\projects\Project_1\include\glm\detail\_noise.hpp", "C++", 0, 0, 67, 0, 0, 0, 15, 82
"d:\DEV\projects\Project_1\include\glm\detail\_swizzle.hpp", "C++", 0, 0, 704, 0, 0, 55, 46, 805
"d:\DEV\projects\Project_1\include\glm\detail\_swizzle_func.hpp", "C++", 0, 0, 648, 0, 0, 0, 35, 683
"d:\DEV\projects\Project_1\include\glm\detail\_vectorize.hpp", "C++", 0, 0, 142, 0, 0, 0, 21, 163
"d:\DEV\projects\Project_1\include\glm\detail\compute_common.hpp", "C++", 0, 0, 43, 0, 0, 1, 7, 51
"d:\DEV\projects\Project_1\include\glm\detail\compute_vector_relational.hpp", "C++", 0, 0, 16, 0, 0, 12, 3, 31
"d:\DEV\projects\Project_1\include\glm\detail\func_common.inl", "C++", 0, 0, 638, 0, 0, 43, 112, 793
"d:\DEV\projects\Project_1\include\glm\detail\func_common_simd.inl", "C++", 0, 0, 195, 0, 0, 14, 23, 232
"d:\DEV\projects\Project_1\include\glm\detail\func_exponential.inl", "C++", 0, 0, 123, 0, 0, 9, 21, 153
"d:\DEV\projects\Project_1\include\glm\detail\func_exponential_simd.inl", "C++", 0, 0, 30, 0, 0, 2, 6, 38
"d:\DEV\projects\Project_1\include\glm\detail\func_geometric.inl", "C++", 0, 0, 193, 0, 0, 17, 34, 244
"d:\DEV\projects\Project_1\include\glm\detail\func_geometric_simd.inl", "C++", 0, 0, 143, 0, 0, 2, 19, 164
"d:\DEV\projects\Project_1\include\glm\detail\func_integer.inl", "C++", 0, 0, 308, 0, 0, 11, 54, 373
"d:\DEV\projects\Project_1\include\glm\detail\func_integer_simd.inl", "C++", 0, 0, 52, 0, 0, 0, 14, 66
"d:\DEV\projects\Project_1\include\glm\detail\func_matrix.inl", "C++", 0, 0, 347, 0, 0, 0, 52, 399
"d:\DEV\projects\Project_1\include\glm\detail\func_matrix_simd.inl", "C++", 0, 0, 191, 0, 0, 24, 35, 250
"d:\DEV\projects\Project_1\include\glm\detail\func_packing.inl", "C++", 0, 0, 144, 0, 0, 2, 44, 190
"d:\DEV\projects\Project_1\include\glm\detail\func_packing_simd.inl", "C++", 0, 0, 5, 0, 0, 0, 2, 7
"d:\DEV\projects\Project_1\include\glm\detail\func_trigonometric.inl", "C++", 0, 0, 145, 0, 0, 14, 39, 198
"d:\DEV\projects\Project_1\include\glm\detail\func_trigonometric_simd.inl", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DEV\projects\Project_1\include\glm\detail\func_vector_relational.inl", "C++", 0, 0, 78, 0, 0, 0, 10, 88
"d:\DEV\projects\Project_1\include\glm\detail\func_vector_relational_simd.inl", "C++", 0, 0, 5, 0, 0, 0, 2, 7
"d:\DEV\projects\Project_1\include\glm\detail\glm.cpp", "C++", 0, 0, 198, 0, 0, 17, 49, 264
"d:\DEV\projects\Project_1\include\glm\detail\qualifier.hpp", "C++", 0, 0, 196, 0, 0, 1, 34, 231
"d:\DEV\projects\Project_1\include\glm\detail\setup.hpp", "C++", 0, 0, 861, 0, 0, 108, 167, 1136
"d:\DEV\projects\Project_1\include\glm\detail\type_float.hpp", "C++", 0, 0, 51, 0, 0, 3, 15, 69
"d:\DEV\projects\Project_1\include\glm\detail\type_half.hpp", "C++", 0, 0, 11, 0, 0, 0, 6, 17
"d:\DEV\projects\Project_1\include\glm\detail\type_half.inl", "C++", 0, 0, 121, 0, 0, 80, 41, 242
"d:\DEV\projects\Project_1\include\glm\detail\type_mat2x2.hpp", "C++", 0, 0, 120, 0, 0, 11, 47, 178
"d:\DEV\projects\Project_1\include\glm\detail\type_mat2x2.inl", "C++", 0, 0, 465, 0, 0, 9, 63, 537
"d:\DEV\projects\Project_1\include\glm\detail\type_mat2x3.hpp", "C++", 0, 0, 107, 0, 0, 11, 42, 160
"d:\DEV\projects\Project_1\include\glm\detail\type_mat2x3.inl", "C++", 0, 0, 445, 0, 0, 9, 57, 511
"d:\DEV\projects\Project_1\include\glm\detail\type_mat2x4.hpp", "C++", 0, 0, 109, 0, 0, 11, 42, 162
"d:\DEV\projects\Project_1\include\glm\detail\type_mat2x4.inl", "C++", 0, 0, 455, 0, 0, 9, 57, 521
"d:\DEV\projects\Project_1\include\glm\detail\type_mat3x2.hpp", "C++", 0, 0, 114, 0, 0, 11, 43, 168
"d:\DEV\projects\Project_1\include\glm\detail\type_mat3x2.inl", "C++", 0, 0, 467, 0, 0, 9, 57, 533
"d:\DEV\projects\Project_1\include\glm\detail\type_mat3x3.hpp", "C++", 0, 0, 127, 0, 0, 11, 47, 185
"d:\DEV\projects\Project_1\include\glm\detail\type_mat3x3.inl", "C++", 0, 0, 528, 0, 0, 9, 65, 602
"d:\DEV\projects\Project_1\include\glm\detail\type_mat3x4.hpp", "C++", 0, 0, 114, 0, 0, 11, 42, 167
"d:\DEV\projects\Project_1\include\glm\detail\type_mat3x4.inl", "C++", 0, 0, 513, 0, 0, 9, 57, 579
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x2.hpp", "C++", 0, 0, 119, 0, 0, 11, 42, 172
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x2.inl", "C++", 0, 0, 509, 0, 0, 9, 57, 575
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x3.hpp", "C++", 0, 0, 119, 0, 0, 11, 42, 172
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x3.inl", "C++", 0, 0, 533, 0, 0, 9, 57, 599
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x4.hpp", "C++", 0, 0, 132, 0, 0, 11, 47, 190
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x4.inl", "C++", 0, 0, 598, 0, 0, 36, 73, 707
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x4_simd.inl", "C++", 0, 0, 3, 0, 0, 1, 3, 7
"d:\DEV\projects\Project_1\include\glm\detail\type_quat.hpp", "C++", 0, 0, 121, 0, 0, 22, 44, 187
"d:\DEV\projects\Project_1\include\glm\detail\type_quat.inl", "C++", 0, 0, 321, 0, 0, 29, 59, 409
"d:\DEV\projects\Project_1\include\glm\detail\type_quat_simd.inl", "C++", 0, 0, 117, 0, 0, 55, 17, 189
"d:\DEV\projects\Project_1\include\glm\detail\type_vec1.hpp", "C++", 0, 0, 194, 0, 0, 47, 68, 309
"d:\DEV\projects\Project_1\include\glm\detail\type_vec1.inl", "C++", 0, 0, 453, 0, 0, 13, 86, 552
"d:\DEV\projects\Project_1\include\glm\detail\type_vec2.hpp", "C++", 0, 0, 285, 0, 0, 21, 94, 400
"d:\DEV\projects\Project_1\include\glm\detail\type_vec2.inl", "C++", 0, 0, 779, 0, 0, 13, 122, 914
"d:\DEV\projects\Project_1\include\glm\detail\type_vec3.hpp", "C++", 0, 0, 313, 0, 0, 24, 96, 433
"d:\DEV\projects\Project_1\include\glm\detail\type_vec3.inl", "C++", 0, 0, 927, 0, 0, 13, 129, 1069
"d:\DEV\projects\Project_1\include\glm\detail\type_vec4.hpp", "C++", 0, 0, 369, 0, 0, 36, 101, 506
"d:\DEV\projects\Project_1\include\glm\detail\type_vec4.inl", "C++", 0, 0, 966, 0, 0, 13, 162, 1141
"d:\DEV\projects\Project_1\include\glm\detail\type_vec4_simd.inl", "C++", 0, 0, 681, 0, 0, 2, 93, 776
"d:\DEV\projects\Project_1\include\glm\exponential.hpp", "C++", 0, 0, 24, 0, 0, 74, 13, 111
"d:\DEV\projects\Project_1\include\glm\ext.hpp", "C++", 0, 0, 227, 0, 0, 3, 24, 254
"d:\DEV\projects\Project_1\include\glm\ext\matrix_clip_space.hpp", "C++", 0, 0, 137, 0, 0, 336, 50, 523
"d:\DEV\projects\Project_1\include\glm\ext\matrix_clip_space.inl", "C++", 0, 0, 492, 0, 0, 1, 63, 556
"d:\DEV\projects\Project_1\include\glm\ext\matrix_common.hpp", "C++", 0, 0, 14, 0, 0, 14, 9, 37
"d:\DEV\projects\Project_1\include\glm\ext\matrix_common.inl", "C++", 0, 0, 14, 0, 0, 0, 3, 17
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x2.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x2_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x3.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x3_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x4.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x4_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x2.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x2_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float3x2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float3x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float3x3.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float3x3_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float3x4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float3x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float4x2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float4x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float4x3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float4x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float4x4.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float4x4_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int2x2.hpp", "C++", 0, 0, 10, 0, 0, 21, 8, 39
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int2x2_sized.hpp", "C++", 0, 0, 17, 0, 0, 39, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int2x3.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int2x3_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int2x4.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int2x4_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int3x2.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int3x2_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int3x3.hpp", "C++", 0, 0, 10, 0, 0, 21, 8, 39
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int3x3_sized.hpp", "C++", 0, 0, 17, 0, 0, 39, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int3x4.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int3x4_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int4x2.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int4x2_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int4x3.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int4x3_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int4x4.hpp", "C++", 0, 0, 10, 0, 0, 21, 8, 39
"d:\DEV\projects\Project_1\include\glm\ext\matrix_int4x4_sized.hpp", "C++", 0, 0, 17, 0, 0, 39, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\matrix_projection.hpp", "C++", 0, 0, 33, 0, 0, 103, 14, 150
"d:\DEV\projects\Project_1\include\glm\ext\matrix_projection.inl", "C++", 0, 0, 85, 0, 0, 1, 21, 107
"d:\DEV\projects\Project_1\include\glm\ext\matrix_relational.hpp", "C++", 0, 0, 29, 0, 0, 87, 17, 133
"d:\DEV\projects\Project_1\include\glm\ext\matrix_relational.inl", "C++", 0, 0, 67, 0, 0, 3, 13, 83
"d:\DEV\projects\Project_1\include\glm\ext\matrix_transform.hpp", "C++", 0, 0, 32, 0, 0, 99, 14, 145
"d:\DEV\projects\Project_1\include\glm\ext\matrix_transform.inl", "C++", 0, 0, 132, 0, 0, 0, 21, 153
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint2x2.hpp", "C++", 0, 0, 10, 0, 0, 21, 8, 39
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint2x2_sized.hpp", "C++", 0, 0, 17, 0, 0, 39, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint2x3.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint2x3_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint2x4.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint2x4_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint3x2.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint3x2_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint3x3.hpp", "C++", 0, 0, 10, 0, 0, 21, 8, 39
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint3x3_sized.hpp", "C++", 0, 0, 17, 0, 0, 39, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint3x4.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint3x4_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint4x2.hpp", "C++", 0, 0, 9, 0, 0, 18, 7, 34
"d:\DEV\projects\Project_1\include\glm\ext\matrix_uint4x2_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
